,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,2021-04-17,-180.0,-174.0,-168.0,-162.0,-157.0,-151.0,-145.0,-140.0,-134.0,-128.0,-122.0,-117.0,-111.0,-105.0,-100.0,-94.0,-88.0,-82.0,-77.0,-71.0,-65.0,-60.0,-54.0,-48.0,-42.0,-37.0,-31.0,-25.0,-20.0,-14.0,-8.0,-2.0,2.0,8.0,14.0,20.0,25.0,31.0,37.0,42.0,48.0,54.0,60.0,65.0,71.0,77.0,82.0,88.0,94.0,100.0,105.0,111.0,117.0,122.0,128.0,134.0,140.0,145.0,151.0,157.0,162.0,168.0,174.0,180.0
1,-9.00000e+01,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678,143.678
2,-8.61702e+01,144.36,144.388,144.441,144.379,144.352,144.335,144.305,144.29,144.33700000000002,144.364,144.439,144.651,144.63,144.558,144.529,144.529,144.481,144.435,144.359,144.29,144.204,144.112,143.911,143.774,143.746,143.638,143.528,143.44299999999998,143.393,143.338,143.286,143.27200000000002,143.245,143.298,143.438,143.505,143.606,143.75,143.842,143.865,143.851,143.838,143.893,143.959,143.995,144.016,144.031,144.135,144.58,144.572,144.316,144.138,144.016,144.025,144.101,144.174,144.235,144.26,144.32299999999998,144.415,144.359,144.339,144.328,144.36
3,-8.23404e+01,144.827,144.91,144.983,145.084,145.12,145.135,145.144,145.22799999999998,145.282,145.32299999999998,145.314,145.31799999999998,145.28,145.197,145.093,145.058,145.083,145.192,145.32,145.439,145.503,145.55,145.417,145.389,145.43,145.464,145.5,145.428,145.359,145.278,145.201,145.119,145.034,144.834,144.657,144.743,144.88299999999998,145.014,145.05,145.115,145.261,145.283,145.217,145.148,145.05200000000002,145.037,145.138,145.393,145.589,145.322,145.047,144.984,145.041,145.07399999999998,145.116,145.253,145.28799999999998,145.078,144.91299999999998,144.858,144.85,144.75799999999998,144.755,144.827
4,-7.85106e+01,146.564,146.65,146.81,147.135,147.213,147.24200000000002,147.291,147.102,147.164,147.35,147.444,147.175,146.987,146.787,146.526,146.197,145.83700000000002,145.768,146.043,146.24200000000002,146.217,146.13299999999998,146.099,146.21200000000002,146.339,146.334,146.264,146.215,146.159,146.085,146.012,145.93200000000002,145.737,145.375,145.245,145.582,145.609,145.503,145.531,145.5,145.494,145.55100000000002,145.711,145.877,145.918,145.898,145.995,146.135,146.116,145.99200000000002,145.916,145.81,145.722,145.89600000000002,145.998,145.862,145.88299999999998,145.783,145.774,145.875,145.986,146.043,146.316,146.564
5,-7.46809e+01,149.57399999999998,149.79,149.958,150.38,150.464,150.025,149.934,149.666,149.517,149.645,149.313,148.875,148.379,148.127,147.7,147.453,147.141,146.916,146.876,146.765,147.138,147.232,147.10399999999998,146.95,146.799,146.65200000000002,146.454,146.519,146.54,146.564,146.466,146.33100000000002,146.202,146.173,146.121,146.048,145.97299999999998,145.857,145.689,145.532,145.438,145.342,145.243,145.247,145.374,145.477,145.819,145.945,145.828,145.58100000000002,146.067,146.266,146.704,146.954,147.096,146.39,146.442,146.866,147.268,148.078,148.579,148.82399999999998,149.322,149.57399999999998
6,-7.08511e+01,154.425,154.856,155.297,155.207,154.012,153.127,153.789,153.513,152.825,152.939,152.13299999999998,151.36700000000002,150.795,150.33700000000002,149.784,149.45600000000002,149.399,149.343,149.685,149.067,148.784,148.39,147.988,147.674,147.30700000000002,147.009,146.871,146.53799999999998,146.683,147.165,147.263,147.268,147.165,147.061,146.97299999999998,146.747,146.504,146.154,145.955,145.909,145.94899999999998,146.108,146.296,146.31,146.19,146.342,146.332,146.347,146.172,146.151,146.641,147.187,147.945,148.217,149.273,149.94799999999998,150.106,150.798,151.161,151.486,152.58700000000002,152.619,153.415,154.425
7,-6.70213e+01,159.865,160.30100000000002,161.37,161.535,160.764,159.631,158.792,158.442,158.062,157.662,156.872,155.69299999999998,155.203,154.536,153.783,153.024,152.576,152.317,152.05700000000002,151.774,151.308,150.839,150.616,150.237,149.829,149.091,149.013,148.496,148.672,149.384,149.616,149.72899999999998,149.832,149.711,149.33,148.389,147.371,147.494,147.983,147.798,147.4,147.589,148.019,148.208,148.25,147.907,147.369,147.095,146.725,146.935,147.69,148.361,149.384,150.336,151.62,152.624,153.861,154.541,155.584,156.487,157.69299999999998,158.289,158.965,159.865
8,-6.31915e+01,166.127,166.771,167.79,168.407,168.303,167.952,167.09099999999998,165.169,164.24400000000003,163.768,162.59,161.276,160.364,159.27100000000002,158.47,157.424,156.545,156.045,155.285,154.931,154.766,154.509,154.36700000000002,153.95600000000002,153.32,153.166,153.131,152.666,152.428,152.798,153.276,153.291,153.238,153.116,152.648,151.764,150.842,150.515,150.61,150.612,150.704,150.364,149.888,149.945,150.313,150.243,149.72,149.15,148.797,149.024,149.694,150.135,151.2,152.863,154.501,156.179,157.502,159.03,160.391,162.453,163.767,164.7,165.546,166.127
9,-5.93617e+01,175.365,175.451,176.148,176.42,177.185,177.363,176.543,174.388,172.773,170.796,169.34099999999998,167.981,166.171,163.97799999999998,162.79399999999998,162.075,161.108,161.017,160.106,159.17,158.489,158.05100000000002,158.091,158.332,158.069,157.69299999999998,157.1,156.322,155.746,155.649,155.985,156.077,156.245,156.279,155.89700000000002,155.58,155.248,154.857,154.894,154.783,153.905,153.291,152.975,153.368,154.166,154.305,153.5,152.701,151.22299999999998,151.375,151.988,152.641,153.93,156.14,158.83,161.797,163.597,165.002,166.65200000000002,168.855,171.203,172.53099999999998,174.44799999999998,175.365
